<TICKER>,<PER>,<DATE>,<TIME>,<LAST>,<VOL>
SBER,0,20170721,100102,163.720000000,10
SBER,0,20170721,100102,163.720000000,800
SBER,0,20170721,100102,163.720000000,90
SBER,0,20170721,100102,163.710000000,20
SBER,0,20170721,100102,163.690000000,740
SBER,0,20170721,100102,163.690000000,1200
SBER,0,20170721,100102,163.690000000,1300
SBER,0,20170721,100102,163.690000000,500
SBER,0,20170721,100102,163.660000000,10
SBER,0,20170721,100102,163.730000000,10
SBER,0,20170721,100104,163.660000000,1100
SBER,0,20170721,100104,163.660000000,970
SBER,0,20170721,100104,163.650000000,20
SBER,0,20170721,100105,163.680000000,200
SBER,0,20170721,100106,163.680000000,1020
SBER,0,20170721,100107,163.630000000,20
SBER,0,20170721,100107,163.630000000,110
SBER,0,20170721,100108,163.680000000,1780
SBER,0,20170721,100108,163.680000000,90
SBER,0,20170721,100108,163.680000000,9990
SBER,0,20170721,100108,163.680000000,410
SBER,0,20170721,100109,163.680000000,1950
SBER,0,20170721,100109,163.680000000,1050
SBER,0,20170721,100109,163.680000000,1000
SBER,0,20170721,100109,163.670000000,3000
SBER,0,20170721,100109,163.670000000,300
SBER,0,20170721,100111,163.660000000,3000
SBER,0,20170721,100111,163.670000000,670
SBER,0,20170721,100111,163.690000000,410
SBER,0,20170721,100111,163.690000000,650
SBER,0,20170721,100111,163.690000000,670
SBER,0,20170721,100111,163.630000000,70
SBER,0,20170721,100115,163.630000000,1820
SBER,0,20170721,100115,163.630000000,20
SBER,0,20170721,100115,163.630000000,970
SBER,0,20170721,100116,163.610000000,100
SBER,0,20170721,100116,163.610000000,180
SBER,0,20170721,100116,163.610000000,10
SBER,0,20170721,100118,163.580000000,50
SBER,0,20170721,100119,163.580000000,1170
SBER,0,20170721,100119,163.580000000,90
SBER,0,20170721,100119,163.570000000,4910
SBER,0,20170721,100119,163.570000000,90
SBER,0,20170721,100119,163.550000000,20
SBER,0,20170721,100119,163.550000000,5000
SBER,0,20170721,100119,163.550000000,10
SBER,0,20170721,100119,163.540000000,1920
SBER,0,20170721,100119,163.610000000,60
SBER,0,20170721,100120,163.610000000,240
SBER,0,20170721,100120,163.570000000,70
SBER,0,20170721,100120,163.550000000,930
SBER,0,20170721,100127,163.540000000,1600
SBER,0,20170721,100127,163.540000000,970
SBER,0,20170721,100127,163.540000000,210
SBER,0,20170721,100127,163.530000000,50
SBER,0,20170721,100127,163.530000000,20
SBER,0,20170721,100127,163.520000000,500
SBER,0,20170721,100127,163.520000000,430
SBER,0,20170721,100127,163.540000000,870
SBER,0,20170721,100127,163.520000000,1500
SBER,0,20170721,100127,163.520000000,1070
SBER,0,20170721,100127,163.510000000,10
SBER,0,20170721,100127,163.510000000,10
SBER,0,20170721,100127,163.540000000,10
SBER,0,20170721,100127,163.520000000,970
SBER,0,20170721,100127,163.500000000,1000
SBER,0,20170721,100127,163.500000000,260
SBER,0,20170721,100127,163.500000000,200
SBER,0,20170721,100127,163.500000000,1570
SBER,0,20170721,100127,163.530000000,280
SBER,0,20170721,100127,163.540000000,720
SBER,0,20170721,100128,163.500000000,50
SBER,0,20170721,100128,163.500000000,60
SBER,0,20170721,100128,163.500000000,300
SBER,0,20170721,100128,163.500000000,800
SBER,0,20170721,100128,163.540000000,200
SBER,0,20170721,100128,163.500000000,220
SBER,0,20170721,100128,163.490000000,20
SBER,0,20170721,100128,163.480000000,50
SBER,0,20170721,100128,163.480000000,10
SBER,0,20170721,100128,163.460000000,250
SBER,0,20170721,100128,163.460000000,10
SBER,0,20170721,100128,163.460000000,10
SBER,0,20170721,100128,163.460000000,100
SBER,0,20170721,100128,163.460000000,10
SBER,0,20170721,100128,163.450000000,20
SBER,0,20170721,100128,163.450000000,10
SBER,0,20170721,100128,163.440000000,590
SBER,0,20170721,100128,163.460000000,170
SBER,0,20170721,100128,163.500000000,1000
SBER,0,20170721,100128,163.510000000,830
SBER,0,20170721,100128,163.510000000,10
SBER,0,20170721,100128,163.440000000,50
SBER,0,20170721,100128,163.430000000,500
SBER,0,20170721,100128,163.430000000,20
SBER,0,20170721,100128,163.430000000,50
SBER,0,20170721,100128,163.420000000,500
SBER,0,20170721,100128,163.410000000,10
SBER,0,20170721,100128,163.410000000,20
SBER,0,20170721,100128,163.410000000,80
SBER,0,20170721,100128,163.400000000,20
SBER,0,20170721,100128,163.400000000,110
SBER,0,20170721,100128,163.400000000,400
SBER,0,20170721,100128,163.400000000,280
SBER,0,20170721,100128,163.390000000,1760
SBER,0,20170721,100128,163.390000000,1240
SBER,0,20170721,100128,163.380000000,50
SBER,0,20170721,100128,163.370000000,500
SBER,0,20170721,100128,163.360000000,1490
SBER,0,20170721,100128,163.410000000,180
SBER,0,20170721,100128,163.410000000,820
SBER,0,20170721,100128,163.410000000,280
SBER,0,20170721,100128,163.420000000,260
SBER,0,20170721,100128,163.420000000,2740
SBER,0,20170721,100128,163.420000000,1000
SBER,0,20170721,100128,163.440000000,260
SBER,0,20170721,100128,163.360000000,3000
SBER,0,20170721,100128,163.350000000,400
SBER,0,20170721,100128,163.350000000,280
SBER,0,20170721,100128,163.340000000,3000
SBER,0,20170721,100128,163.330000000,20
SBER,0,20170721,100128,163.330000000,50
SBER,0,20170721,100128,163.330000000,330
SBER,0,20170721,100128,163.330000000,690
SBER,0,20170721,100128,163.330000000,10
SBER,0,20170721,100128,163.320000000,250
SBER,0,20170721,100128,163.320000000,4000
SBER,0,20170721,100128,163.320000000,1000
SBER,0,20170721,100128,163.310000000,10
SBER,0,20170721,100128,163.310000000,10
SBER,0,20170721,100128,163.310000000,4990
SBER,0,20170721,100128,163.300000000,3000
SBER,0,20170721,100128,163.300000000,2600
SBER,0,20170721,100128,163.300000000,1000
SBER,0,20170721,100128,163.300000000,5360
SBER,0,20170721,100128,163.290000000,40
SBER,0,20170721,100129,163.290000000,960
SBER,0,20170721,100129,163.280000000,40
SBER,0,20170721,100129,163.290000000,1000
SBER,0,20170721,100129,163.280000000,10
SBER,0,20170721,100129,163.270000000,20
SBER,0,20170721,100129,163.260000000,100
SBER,0,20170721,100129,163.260000000,1540
SBER,0,20170721,100129,163.260000000,2670
SBER,0,20170721,100129,163.260000000,900
SBER,0,20170721,100129,163.420000000,280
SBER,0,20170721,100129,163.430000000,1000
SBER,0,20170721,100129,163.440000000,1220
SBER,0,20170721,100129,163.310000000,10
SBER,0,20170721,100129,163.350000000,90
SBER,0,20170721,100129,163.330000000,20
SBER,0,20170721,100129,163.330000000,250
SBER,0,20170721,100129,163.320000000,300
SBER,0,20170721,100129,163.320000000,500
SBER,0,20170721,100129,163.320000000,200
SBER,0,20170721,100129,163.300000000,10
SBER,0,20170721,100129,163.300000000,30
SBER,0,20170721,100129,163.270000000,2760
SBER,0,20170721,100129,163.370000000,10
SBER,0,20170721,100129,163.280000000,780
SBER,0,20170721,100129,163.370000000,20
SBER,0,20170721,100129,163.370000000,10
SBER,0,20170721,100129,163.270000000,10
SBER,0,20170721,100129,163.260000000,90
SBER,0,20170721,100129,163.270000000,30
SBER,0,20170721,100129,163.260000000,10
SBER,0,20170721,100129,163.250000000,10
SBER,0,20170721,100129,163.250000000,20
SBER,0,20170721,100129,163.250000000,10
SBER,0,20170721,100129,163.240000000,20
