<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
RI.RTSI,1,20180103,11:41:00,1171.2300000,1171.6000000,1171.1700000,1171.6000000,339231
RI.RTSI,1,20180103,11:42:00,1171.6300000,1171.7700000,1171.0700000,1171.1300000,637076
RI.RTSI,1,20180103,11:43:00,1171.1800000,1171.3100000,1171.1100000,1171.2900000,416621
RI.RTSI,1,20180103,11:44:00,1171.2900000,1171.4600000,1171.0700000,1171.3700000,433978
RI.RTSI,1,20180103,11:45:00,1171.4200000,1171.7200000,1171.1900000,1171.5100000,1421888
RI.RTSI,1,20180103,11:46:00,1171.3000000,1171.3000000,1170.3000000,1170.4800000,3538349
RI.RTSI,1,20180103,11:47:00,1170.4700000,1171.0900000,1170.2700000,1170.8800000,1753211
RI.RTSI,1,20180103,11:48:00,1170.8800000,1171.5000000,1170.8800000,1171.3900000,630527
RI.RTSI,1,20180103,11:49:00,1171.3200000,1171.6400000,1171.0400000,1171.3000000,630703
RI.RTSI,1,20180103,11:50:00,1171.0400000,1171.4200000,1171.0400000,1171.4200000,1388849
RI.RTSI,1,20180103,11:51:00,1171.4400000,1171.4400000,1170.7400000,1170.7500000,772807
RI.RTSI,1,20180103,11:52:00,1170.7700000,1170.9900000,1170.6400000,1170.7300000,775437
RI.RTSI,1,20180103,11:53:00,1170.7400000,1171.2000000,1170.5900000,1170.7100000,828292
RI.RTSI,1,20180103,11:54:00,1170.7000000,1171.0700000,1170.7000000,1170.8600000,336013
RI.RTSI,1,20180103,11:55:00,1170.9200000,1170.9200000,1170.7100000,1170.8800000,404433
RI.RTSI,1,20180103,11:56:00,1170.8800000,1171.0200000,1170.8200000,1170.8200000,596628
RI.RTSI,1,20180103,11:57:00,1170.8200000,1170.9400000,1170.2700000,1170.5200000,1071251
RI.RTSI,1,20180103,11:58:00,1170.5200000,1170.9000000,1170.2500000,1170.3700000,839692
RI.RTSI,1,20180103,11:59:00,1170.3800000,1170.6400000,1169.9200000,1170.5100000,578287
RI.RTSI,1,20180103,12:00:00,1170.5500000,1170.5500000,1169.9000000,1169.9100000,537592
RI.RTSI,1,20180103,12:01:00,1169.8600000,1170.8100000,1169.8500000,1170.7100000,770105
RI.RTSI,1,20180103,12:02:00,1170.7000000,1170.7100000,1170.3800000,1170.4900000,611804
RI.RTSI,1,20180103,12:03:00,1170.5200000,1170.5800000,1170.2600000,1170.2600000,429628
RI.RTSI,1,20180103,12:04:00,1170.1600000,1170.5400000,1169.9200000,1169.9200000,586438
RI.RTSI,1,20180103,12:05:00,1169.9200000,1170.1300000,1169.7400000,1170.1100000,529221
RI.RTSI,1,20180103,12:06:00,1170.1000000,1170.3400000,1169.7700000,1169.7900000,322591
RI.RTSI,1,20180103,12:07:00,1169.7900000,1169.8200000,1169.6300000,1169.7500000,616916
RI.RTSI,1,20180103,12:08:00,1169.7500000,1169.8000000,1169.5200000,1169.7800000,393084
RI.RTSI,1,20180103,12:09:00,1169.7800000,1169.8000000,1169.3600000,1169.6000000,478660
RI.RTSI,1,20180103,12:10:00,1169.6100000,1169.6100000,1169.3400000,1169.3900000,535332
RI.RTSI,1,20180103,12:11:00,1169.3800000,1169.6300000,1169.3800000,1169.5100000,353911
