TRADEDATE,BOARDID,SECID,SHORTNAME,NAME,CLOSE,OPEN,HIGH,LOW,VALUE,DURATION,YIELD,DECIMALS,CAPITALIZATION,CURRENCYID,DIVISOR
2012-08-09,RTSI,RTSI,Индекс РТС,Индекс РТС,1447.09,1444.79,1463.22,1431.59,1055203834.1524,,,2,164845983234.772,USD,999999.999999
2012-08-10,RTSI,RTSI,Индекс РТС,Индекс РТС,1427.33,1447.09,1449.59,1410.61,851665894.6543,,,2,162594527046.81,USD,999999.999999
2012-08-13,RTSI,RTSI,Индекс РТС,Индекс РТС,1436.15,1430.51,1457.61,1425.69,889069416.6911,,,2,163599767475.31198,USD,999999.999999
2012-08-14,RTSI,RTSI,Индекс РТС,Индекс РТС,1445.29,1435.63,1452.79,1432.48,750921485.1447,,,2,164641018191.257,USD,999999.999999
2012-08-15,RTSI,RTSI,Индекс РТС,Индекс РТС,1427.67,1445.29,1448.51,1412.75,1002873694.51,,,2,162633413134.522,USD,999999.999999
2012-08-16,RTSI,RTSI,Индекс РТС,Индекс РТС,1431.07,1427.67,1440.76,1421.32,736921045.1215,,,2,163021229486.235,USD,999999.999999
2012-08-17,RTSI,RTSI,Индекс РТС,Индекс РТС,1416.78,1431.07,1444.25,1416.11,654241536.0625,,,2,161392738400.173,USD,999999.999999
2012-08-20,RTSI,RTSI,Индекс РТС,Индекс РТС,1403.55,1416.78,1423.87,1396.72,795033827.522,,,2,159886253344.469,USD,999999.999999
2012-08-21,RTSI,RTSI,Индекс РТС,Индекс РТС,1442.72,1403.55,1445.79,1402.55,922053675.5398,,,2,164348565983.116,USD,999999.999999
2012-08-22,RTSI,RTSI,Индекс РТС,Индекс РТС,1430.48,1442.72,1443.18,1420.91,682188179.7241,,,2,162954231602.183,USD,999999.999999
2012-08-23,RTSI,RTSI,Индекс РТС,Индекс РТС,1442.94,1430.46,1462.86,1428.67,1237781571.034,,,2,164373775971.237,USD,999999.999999
2012-08-24,RTSI,RTSI,Индекс РТС,Индекс РТС,1436.84,1442.94,1445.36,1424.74,811895573.9994,,,2,163678440217.443,USD,999999.999999
2012-08-27,RTSI,RTSI,Индекс РТС,Индекс РТС,1431.53,1436.78,1446.98,1425.48,577284026.5794,,,2,163073246369.296,USD,999999.999999
2012-08-28,RTSI,RTSI,Индекс РТС,Индекс РТС,1428.88,1431.53,1434.54,1419.62,961598928.5551,,,2,162771710332.983,USD,999999.999999
2012-08-29,RTSI,RTSI,Индекс РТС,Индекс РТС,1410.16,1428.86,1435.79,1409.15,977661507.1971,,,2,160639168467.815,USD,999999.999999
